parameter,value,best,worst,avg,std
HMS,5,7,12,9.66667,2.0548
HMS,10,8,14,10.3333,2.62467
HMS,20,18,20,19,0.816497
HMS,50,32,44,38.3333,4.92161
HMCR,0.5,57,61,59.6667,1.88562
HMCR,0.7,51,57,53.6667,2.49444
HMCR,0.9,12,20,15.6667,3.29983
HMCR,0.95,0,0,0,0
PAR,0.1,17,22,18.6667,2.35702
PAR,0.2,17,17,17,0
PAR,0.3,15,16,15.3333,0.471404
PAR,0.5,17,18,17.6667,0.471404
PAR,0.7,16,17,16.6667,0.471404
